Timestamp,Which came first?,Do you hit the snooze button?,"If I was a zombie, I would...",What is your favorite day of the week?,Gender,Age
9/11/2013 12:30:16,Chicken,Yes,preferentially chase small children.,Tuesday,Male,Parent age
9/11/2013 12:35:01,Egg,No,preferentially chase small children.,Friday,Male,20-something
9/11/2013 12:37:25,Egg,Yes,learn to drive stick.,Thursday,Male,Grandparent age
9/13/2013 9:34:41,Chicken,No,preferentially chase small children.,Friday,Male,Parent age
9/17/2013 10:03:58,Chicken,Yes,learn to drive stick.,Wednesday,,Teenie bopper
9/17/2013 10:04:13,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:05:07,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:05:18,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:08:23,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:08:37,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:09:25,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 10:09:34,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
9/17/2013 13:51:23,Egg,Yes,preferentially chase small children.,Tuesday,Female,Grandparent age
10/21/2013 22:04:57,Chicken,Yes,preferentially chase small children.,Thursday,Male,20-something
10/24/2013 6:09:21,Chicken,Yes,learn to drive stick.,Thursday,Male,Parent age
10/24/2013 6:10:01,Chicken,Yes,learn to drive stick.,Monday,Male,Parent age
10/24/2013 6:10:16,Chicken,Yes,learn to drive stick.,Saturday,Male,Parent age
10/24/2013 6:11:19,Chicken,Yes,learn to drive stick.,Tuesday,Male,Parent age
10/24/2013 6:11:42,Chicken,Yes,learn to drive stick.,Thursday,Male,Parent age
10/24/2013 11:46:03,Chicken,No,seek out police officers and others with shotguns.,Wednesday,Female,Parent age
10/24/2013 13:52:21,Egg,No,seek out police officers and others with shotguns.,Sunday,Male,Teenie bopper
10/24/2013 21:34:44,Chicken,Yes,seek out police officers and others with shotguns.,Sunday,Male,Parent age
10/25/2013 6:51:13,Chicken,Yes,preferentially chase small children.,Saturday,Male,Parent age
10/25/2013 9:41:51,Chicken,Yes,learn to drive stick.,Friday,Male,Parent age
10/25/2013 19:17:42,Chicken,No,learn to drive stick.,Friday,Male,20-something
10/27/2013 23:05:40,Chicken,Yes,learn to drive stick.,Monday,Male,Parent age
10/28/2013 22:37:38,Egg,Yes,seek out police officers and others with shotguns.,Saturday,Male,Parent age
10/29/2013 6:59:48,Egg,Yes,learn to drive stick.,Saturday,Male,Parent age
10/29/2013 9:31:27,,,,,,
10/29/2013 9:35:13,Chicken,Yes,learn to drive stick.,Saturday,Male,Parent age
10/29/2013 11:39:13,Egg,Yes,seek out police officers and others with shotguns.,Friday,Male,Parent age
10/29/2013 18:42:57,Chicken,Yes,preferentially chase small children.,Monday,Male,Parent age
10/30/2013 0:11:56,Egg,No,preferentially chase small children.,Saturday,Male,Parent age
10/30/2013 13:33:47,Egg,Yes,learn to drive stick.,Friday,Female,Parent age
10/30/2013 13:53:01,Chicken,Yes,learn to drive stick.,Monday,Male,Parent age
10/30/2013 22:59:09,Egg,No,learn to drive stick.,Thursday,Male,Grandparent age
10/31/2013 9:14:13,Egg,Yes,learn to drive stick.,Friday,Male,Parent age
10/31/2013 11:03:34,Egg,No,learn to drive stick.,Sunday,Female,Grandparent age
10/31/2013 11:15:03,Chicken,Yes,learn to drive stick.,Saturday,Female,Parent age
10/31/2013 12:03:29,Chicken,Yes,preferentially chase small children.,Thursday,Female,Teenie bopper
10/31/2013 13:32:29,Chicken,Yes,preferentially chase small children.,Friday,Male,20-something
11/4/2013 2:56:32,Egg,Yes,learn to drive stick.,Tuesday,Male,Parent age
11/5/2013 14:33:46,Chicken,Yes,learn to drive stick.,Sunday,Male,Parent age
11/5/2013 15:00:38,Egg,Yes,seek out police officers and others with shotguns.,Saturday,Male,Parent age
11/5/2013 15:01:56,Egg,Yes,seek out police officers and others with shotguns.,Saturday,Male,Parent age
11/6/2013 7:41:41,Chicken,Yes,seek out police officers and others with shotguns.,Saturday,Male,Parent age
11/6/2013 7:46:03,Chicken,No,learn to drive stick.,Saturday,Male,Parent age
11/6/2013 10:21:07,Chicken,Yes,learn to drive stick.,Saturday,Female,Parent age
11/8/2013 6:07:40,Egg,Yes,learn to drive stick.,Sunday,Male,Parent age
11/9/2013 16:00:35,Chicken,No,seek out police officers and others with shotguns.,Tuesday,Male,Grandparent age
11/15/2013 10:52:09,,,,,,
11/18/2013 10:46:41,Egg,Yes,seek out police officers and others with shotguns.,Saturday,Female,Parent age
11/22/2013 9:55:03,Chicken,Yes,preferentially chase small children.,Sunday,Male,Parent age
12/3/2013 12:53:43,Chicken,Yes,learn to drive stick.,Saturday,Male,Parent age
12/5/2013 1:24:10,Chicken,Yes,seek out police officers and others with shotguns.,Saturday,Female,20-something
1/12/2014 19:06:42,Chicken,Yes,learn to drive stick.,Saturday,Male,20-something
1/17/2014 18:27:05,Chicken,Yes,learn to drive stick.,Sunday,Female,Parent age
5/29/2014 3:50:44,Egg,No,seek out police officers and others with shotguns.,Monday,Female,20-something
6/11/2014 13:30:09,Chicken,Yes,seek out police officers and others with shotguns.,Wednesday,Male,Parent age
7/19/2014 5:46:30,Egg,Yes,learn to drive stick.,Friday,Male,20-something
7/29/2014 20:15:09,Egg,Yes,preferentially chase small children.,Sunday,Male,20-something
8/29/2014 4:09:55,Egg,Yes,preferentially chase small children.,Saturday,Male,Parent age
9/30/2014 0:16:48,Chicken,No,seek out police officers and others with shotguns.,Tuesday,Female,Parent age
10/1/2014 9:53:22,Chicken,Yes,seek out police officers and others with shotguns.,Tuesday,Male,Teenie bopper
12/23/2014 22:22:02,Chicken,No,learn to drive stick.,Friday,Male,20-something
2/18/2015 4:19:09,Chicken,,preferentially chase small children.,Thursday,Male,20-something
3/17/2015 13:06:55,Chicken,Yes,learn to drive stick.,Saturday,Female,Parent age
3/30/2015 0:39:46,Egg,Yes,seek out police officers and others with shotguns.,Saturday,Male,20-something
4/7/2015 15:39:02,Chicken,Yes,preferentially chase small children.,Monday,Female,20-something
4/25/2015 10:05:13,Chicken,No,seek out police officers and others with shotguns.,Thursday,Female,20-something
4/30/2015 12:08:40,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
5/2/2015 15:50:43,Chicken,No,seek out police officers and others with shotguns.,Monday,Male,20-something
5/27/2015 18:48:47,Chicken,,,Monday,Male,Parent age
5/28/2015 17:21:36,Chicken,Yes,preferentially chase small children.,Sunday,Male,Teenie bopper
